CODICE,CODICE,CODICE,CODICE
DP60-323-1,GRIGLIE POSTERIORI DP60,ACCESSORI,
SCH-024,MODEM TELTONIKA GPRS,ACCESSORI,150
8-KIT-QR,Kit Faramacomodo per macchine DDX,ACCESSORI,185
DP18-KIT-17,Toppa chiusura NAYAX DP18,ACCESSORI,
ADES-88,Adesivo POS DP60,ACCESSORI,3
ADES-87,Adesivo POS DP40,ACCESSORI,3
ADES-89,ADESIVO CONTACTLESS DP60-40,ACCESSORI,1
,kit farmacomodo DP60,ACCESSORI,350
944BT140000002,MODULO MDB PER DUO,ACCESSORI,
PPT-082-DUO,PIASTRA SUPP. DUO PPT,ACCESSORI,
PPT-930,PLEXI PER POS DUO PPT,ACCESSORI,
946BT140900733,PIN PAD LE,ACCESSORI,
MCV990,CAVO USB A/B,ACCESSORI,
943BT090700333,IUC 250 LETTORE,ACCESSORI,
DP60-222-1,PALO PER FISSAGGIO DP60/40,ACCESSORI,€. 150 LA COPPIA
0365579#,PIEDISTALLO DP18,ACCESSORI,
DP40-KIT-00,TETTOIA DP40 COMPLETA DI ACCESSORI,ACCESSORI,250
DD40-AD-00,ADESIVO COVID FREE VENDING,ACCESSORI,
AL-16,ALETTE RAFFREDDAMENTO RASPBERRY PI3,ACCESSORI,
3113178.,TETTOIA DP60 + LOCKER,ACCESSORI,
0365579#.,PIEDISTALLO DP18 IN CATAFORESI,ACCESSORI,290
KIT-DP60-SELF4000-R,KIT POS SELF 4000 PER DP60,ACCESSORI,1110
KIT-DP60-DUO-INGENICO R,KIT POS SELF DUO PER DP60,ACCESSORI,1110
GDP40-RR-RIC,KIT RENDI RESTO SU DP40 AL POSTO DEL DPO,ACCESSORI,DA FARE IL COSTO
POS-ING-001,INGENICO SELF 2000,ACCESSORI,
POS-ING-MDB01,MODULO MDB PER SELF2000/4000,ACCESSORI,
ADES-83,ETICHETTE NUERAZIONE DA 10 A 42 - cassetti con led prezzi,ACCESSORI,10
ADES-84,ETICHETTE NUERAZIONE DA 10 A 69 - cassetti con led prezzi,ACCESSORI,10
KIT-DP40-SELF4000-R,KIT POS SELF 4000 PER DP40,ACCESSORI,
POS-006,VPOS TOUCH NAYAX,ACCESSORI,500
GDP40-RR-RIC + MCV495,KIT RENDI RESTO SU DP40 AL POSTO DEL DPO (CON PROLUNGA MDB),ACCESSORI,DA FARE IL COSTO
DD16-1142-1 ,Cornice verticale dx e sx per sportello DP18 zincante + vernice,MECCANICA,45
DD16-1140-1 ,Cornice superiore per sportello DP18 zincante + vernice,MECCANICA,75
DD16-006-1,Protezione porta dp18 zincante +  vernice,MECCANICA,60
DD18-253A,MODIFICA SCIVOLO RENDI RESTO DP18,MECCANICA,5
DD10-135A,MODIFICA SCIVOLO RENDI RESTO DP10,MECCANICA,5
(501-11-11-23-00 +  056-18-02),MANIGLIA E SERRATURA DP16-18-60 (501-11-11-23-00 +  056-18-02),MECCANICA,153
DP16-KIT-020,Pannelo frontale tastire DP16 completo - senza elettronica,MECCANICA,250
DP16-050,PESO PICCOLO - DP16-8-18-10,MECCANICA,5
DP16-053,PESO STANDARD - DP16-8-18-10,MECCANICA,5,5
2-00-141-00,SERRATURA TUBOLARE A 2 USCITE - DP10-14-7-4,MECCANICA,21
DP16-400,CORNICE FISSAGGIO A MURO DP16-18,MECCANICA,120
DP16-201-1,SUPPORTO ACCETTATORE BANCONOTE VERNICIATO DP16-8,MECCANICA,15
DP16-086-1,SPORTELLO RECUPERO PRODOTTO DP16-8,MECCANICA,55
DP8-KIT-06,SPORTELLO ASSEMBLATO SENZA ELETTRONICA DP8,MECCANICA,1100
DP16-KIT-010,SPORTELLO ASSEMBLATO SENZA ELETTRONICA,MECCANICA,1200
DP16-KIT-015,KIT INSERITORE MONETE DP18-16-8,MECCANICA,90
DP16-KIT-019,KIT PLAY DELIGHT DP18-16-10-8,MECCANICA,22
DP16-KIT-011,SPORTELLO DP16 COMPLETO DI ELETTRONICA,MECCANICA,2750
DP18-KIT-014,SPORTELLO ASS. SENZA ELETTRONICA,MECCANICA,1350
DP18-KIT-015,MOBILE ASS. CON SUPP. SILOS - GUARNIZIONE - STAFFA LUCCHETTO E LUCCHETTO,MECCANICA,720
DP18-KIT-09,SPORTELLO DP18 COMPLETO DI ELETTRONICA,MECCANICA,2750
DP8-001-01,MOBILE DP8 COMPLETO DI SUPPORTI SILOS,MECCANICA,650
DP16-KIT-021,MOBILE DP16 COMPLETO DI SUPPORTI SILOS,MECCANICA,700
RB90130,PANNELLO ISTRUZIONE E STAMPANTE DP14,MECCANICA,260
DP18-KIT-07,SPORTELLO ASSEMBLATO SENZA ELETTRONICA DP18 TOUCH,MECCANICA,1200
DP18-KIT-09,SPORTELLO ASSEMBLATO SENZA ELETTRONICA DP18 PLEXI,MECCANICA,1500
DP60-KIT-03,TETTOIA DP60 COMPLETA ,MECCANICA,250
DP60-KIT-04,PARATIA CASSETTO SPINTORE ASS. CON 2 MOLLE,MECCANICA,5,8
DP60-KIT-08,KIT INTRODUZIONE MOENTA DP60,MECCANICA,105
RB90206,PANNELLO PULSANTIERA ASS. SENZA ELETTRONICA DP14,MECCANICA,250
RB90132,PANNELLO DI PAGAMENTO S. ELETTRONICA DP14,MECCANICA,140
RB90131,SPORTELLO ASSEMBLATO SENZA ELETTRONICA DP14,MECCANICA,780
DP60-175,PIEDE ANTIRIBALTAMENTO PER FISSAGGIO POSTERIORE (VETRINA),MECCANICA,
DD16-112-316,SPORTELLO RITIRO RESTO VERNICIATO,MECCANICA,20
DD16-1142-inox-1,CORNICI LATERALI DP18 SPORTELLO VERNICIATO,MECCANICA,60
DD16-1140-Inox-1,CORNICI SUPERIORE DP18 SPORTELLO VERNICIATO,MECCANICA,90
DD16-114-Inox-1,CORNICI INFERIORE  DP18 SPORTELLO VERNICIATO,MECCANICA,95
INSMON002-316,Slitta monete ins. monete INOX 316,MECCANICA,
INSMON003-316,Leva reject INOX 316,MECCANICA,
DD16-058-1,PIASTRA SUPP. LETTORE BANCONOTE PER DP18/10,MECCANICA,18
0-34-0061-01,SPORTELLO RITIRO PRODOTTO DP10 - VERNICIATO,MECCANICA,60
0-34-0082-PL,Silos corto in plastica SILOS-PL-010 (POSTERIORE CANALINA),MECCANICA,
0-34-0083-PL,"Silos lungo in plastica ""SILOS-PL-001"" (POSTERIORE CANALINA)",MECCANICA,10
0-34-0075-PL,Paratia larga sx per silos alto prod. stand in plastica SILOS-PL-007-SX2,MECCANICA,10
0-34-0076-PL,Paratia larga dx per silos alto prod.std. in plastica SILOS-PL-007-DX,MECCANICA,10
0-34-0078-PL,Paratia sx silos corto prod. std. in plastica SILOS-PL-070-SX,MECCANICA,7,5
0-34-0079-PL,Paratia dx silos corto prod. std in plastica SILOS-PL-070-DX,MECCANICA,7,5
0-34-0080-PL,Paratia dx silos corto prod.piccoli plastica SILOS-PL-036-DX (3pz),MECCANICA,7,5
0-34-0081-PL,Paratia sx silos corto prod.piccoli plastica SILOS-PL-036-SX (3pZ),MECCANICA,7,5
DP16-013,Blocchetto cerniera regolazione zinc. b REV.A (1pz ogni macchina),MECCANICA,22,5
DP16-014,Blocchetto cerniera zinc.b (3pz ogni macchina),MECCANICA,17,5
DP16-015,DP16 Cerniera zincata bianca  (2pz ogni macchina),MECCANICA,18,5
DP30-182-1,Cornice inferiore DP30,MECCANICA,\
LUCCH-4115,Lucchetto Viro,MECCANICA,37
DT50-076,STAFFA LUCCHETTO DT 50,MECCANICA,
SPORTELLO DP10,Sportello DP10 completo senza elettronica,MECCANICA,950
DD18-037,STAFFA LUCCHETTO DP18,MECCANICA,18
DP30-180A-1,CORNICE SUPERIORE DP30,MECCANICA,35
DP30-181A-1 ,CORNICE LATERALE DP30,MECCANICA,25
DP30-182A-1,Cornice inferiore DP30,MECCANICA,35
DP30-008-1,TETTO DP30 VERNICIATO,MECCANICA,80
DP30-1050-1,PORTA DP30 VERNICIATA,MECCANICA,650
DD16-006-INOX-1,Protezione porta dp18 INOX +  vernice ,MECCANICA,70
DD16-011-INOX-1,Protezione inferiore dp18 INOX +  vernice ,MECCANICA,22
DD16-1120,Cerniera porta DP18,MECCANICA,60
DD16-1100-1,Sportello verniciato DP18,MECCANICA,430
DD16-006-1,Protezione laterale,MECCANICA,20
DD16-011-1,Protezione inferiore dp18 ZINCANTE +  vernice ,MECCANICA,18
DP60-PORTA-1,Porta DP60 Verniciata,MECCANICA,750
DP60-CORNICE-INFERIORE-1,Cornice inferiore DP60,MECCANICA,115
DP60-253-1,Cornice porta laterale SX - DP60,MECCANICA,60
DP60-079-1,Cornice inferiore porta DP60 - verniciato,MECCANICA,35
DP60-254-1,Cornice porta laterale DX - DP60,MECCANICA,60
DP60-CORNICE-SUPERIORE-1,Cornice superiore porta DP60,MECCANICA,110
DD10-139 ,Staffa protezione lettore banconote,MECCANICA,10
DP30-066,Staffa antiribalta DP30,MECCANICA,12
DP30-021-1,Chiusura inferiore posteriore DP30,MECCANICA,
DD10-025 ,Dp10 Asta serratura zincata,MECCANICA,45
DD10-037,Staffa lucchetto,MECCANICA,20
DP60-110,Vasca ritiro monete dp60 inox,MECCANICA,30
DP60-112,Portellino vaschetta rit. mon. dp60 inox,MECCANICA,7
TST-15-1,Parte fissa pulsante antivandalo anodizzato,MECCANICA,2
TST-16-1,Parte mobile pulsante antivandalo anodizzata,MECCANICA,1,8
0-34-0009-00,Molla per pulsante antivandalo anodizzato,MECCANICA,1
XS-106,MOLLA PER PARATIA IN PLASTICA,MECCANICA,
DD16-1000-1,Mobile DP18 + supporto silos ,MECCANICA,800
DP10-KIT-05,Sportello DP10 completo senza elettronica,MECCANICA,950
DD18-137,Scivoli in chicco di riso,MECCANICA,
DP60-KIT-12,Kit ventola tangenziale,MECCANICA,110
DP60-134,Staffa Lucchetto DP60,MECCANICA,35
DD8-KIT-01,CORNICE FISSAGGIO A MURO DP8 NEW 2018,MECCANICA,
SUPP-DIST,Supporto distanziale per spintori,MECCANICA,
SILOS-METAL-061,Prolunga appoggio silos in plastica,MECCANICA,6
DP60-PORTELLO-RIT-PROD,Sport. Rit prodotto Dp60,MECCANICA,90
DP60-KIT-06,Sport. Posteriore DP60 con serratura assemblato,MECCANICA,350
DP30-020 ,SUPPORTO HOPPER NEW PER NUOVO SCIVOLO,Scivolo new,
DD18-137,SCIVOLO RESTO NEW A FORMA DI OVAIA,Scivolo new,11
DP16-KIT-01,VASCA RITIRO PRODOTTO COMPLETA DP16/18,,215
DD16-033,SUPPORTO HOPPER DP18 NEW PER NUOVO SCIVOLO,Scivolo new,25
DP16-111,dp16 Vaschetta raccolta monete di scarto acciao inox,,15
DP16-112,DP16 Portellino vasch. rec. monete di scarto acc.inox,MECCANICA,7
2-00-0044-00,Serratura 4 mandate CISA 57226 60 - DP14 E DP7 PAYTEC,MECCANICA,75
LBGA-001,Lamiera blocco gettoniera DP10,MECCANICA,15
DP30-296,LISTELLO CORTO PLEXIGLASS NEW DP30,MECCANICA,22
DP30-297,LISTELLO LUNGO PLEXIGLASS NEW DP30,MECCANICA,35
DP60-323-1,CHIUSURA POSTERIORE MOBILE GRIGLIATO PER INST. A MURO,MECCANICA,
DP60-KIT-08,KIT INSERITORE MONETE DP60,MECCANICA,
2-00-143-11,MANIGLIA DP8 NEW,MECCANICA,35
SUPP-GETT-S10,supporto plastico gettoniera P.10,MECCANICA,10
DP60-112,Sport. Ritiro resto per DP60,MECCANICA,18
DP30-186-1,pettine per cassetto DP30,MECCANICA,
DP60-185-A,pettine per cassetto DP60,MECCANICA,7
DD8-1093 + ADES-75,Sport. Ritiro prodotto DD8 + ADES-75 Adesivo Sport. Ritiro prodotto DD8,MECCANICA,40
DD16-1100-1 ,SPORTELLO DP18 VERNICIATO ,MECCANICA,450
Dp30-1090,SPORT. RIT. PRODOTTI DP30,MECCANICA,72
DD8-1000-1,MOBILE DP8 NEW,MECCANICA,600
DP60-320-1,RINFORZO LATERALE PORTA VERNICIATO DP60,MECCANICA,75
DP60-296,LISTELLO ZONA DISPLAY,MECCANICA,13
0-34-0009-00,Molla pulsante antivandalo inox 0,7 x12 ll 11,20,KIT TASTO DP60,
0-34-0020-01,AK9 - Pulsante anodizzato,KIT TASTO DP60,
SEIGER TASTO DP60,,KIT TASTO DP60,
DP60-067 ,ROSTRO DP60 SUPERIORE,MECCANICA,35
DP60-068,ROSTRO DP60 INFERIORE,MECCANICA,27
DP30-1095,ROSTRI SPORT. RIT. PRODOTTI DP30,MECCANICA,22
001-001201,GUARNIZIONE ARMATA PER VETROCAMERA DP30,MECCANICA,5 AL MT
DP60-058-1,SUPPORTO LETT. BANCONOTE DP60,MECCANICA,15
DP60-368,Copertura barra led frontale inferiore inox,MECCANICA,21
DP60-294-1,Chiusura laterale base primer+vernice,MECCANICA,12
DP60-1001,Supporto binario cella frigo inox,MECCANICA,
SERR-EL-3,SERRATURA ELETTRONICA STC PER DS20,MECCANICA,
DP40-100-1,PORTA DP40,MECCANICA,1400
DP40-004-1,CORNICE MOBILE DP40,MECCANICA,350
DP60-294-1,Chiusura laterale base primer+vernice,MECCANICA,25
DP60-ASTA -BLOC-PORTELLO,Asta blocco portello ritiro prodotto dp60,MECCANICA,45
DS20-171,Copertura lettore di Età e Sanei,MECCANICA,
DP16-110,CORNICE PLEXIGLASS RITIRO MONETE DP16-8,PLEXIGLASS,8
DP16-202,CORNICE PLEXIGLASS ACCETTATORE BANCONOTE,PLEXIGLASS,12
DP16-910,CORNICE PLEXIGLASS RITIRO PRODOTTO DP16-8,PLEXIGLASS,30
DP16-912,"DP16 Frontale bacheca ""legenda"" plexiglass anti uv",PLEXIGLASS,10
DP16-915,CORNICE PLEXIGLASS STAMPANTE ,PLEXIGLASS,10
DP16-900-1,CORNICE OBLO' SERIGRAFATA DP16,PLEXIGLASS,160
DD16-901,PLEXIGLASS PORTA DP18 TASTI SERIGRAFATO + IMBALLO BLU CON STELLINE,PLEXIGLASS,295
DP18-KIT-11,PLEXIGLASS PORTA DP18 TASTI SERIGRAFATO + IMBALLO BLU FUORI PRODUZIONE,PLEXIGLASS,295
DD16-902,PLEXIGLASS PORTA DP18 TOUCH SERIGRAFATO,PLEXIGLASS,250
DD16-905,PLEXIGLASS INTERNO LEGENDE DP18 TASTI,PLEXIGLASS,43
DD16-915,PLEXIGLASS PER PORTA PULSANTI DP18 TASTI,PLEXIGLASS,18
DD10-900,Dp10 supporto leggenda e display in plexiglass serigrafato,PLEXIGLASS,38
DD10-901,Dp10 plexiglass interno etichette,PLEXIGLASS,60
DP60-900-1,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BLU CON LOGO DUREX,PLEXIGLASS,720
DP60-920-1,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BLU,PLEXIGLASS,70
DP60-929-1,PLEXIGLASS FRONTALE PK3 E STAMPANTE BLU,PLEXIGLASS,39
DP60-902-1,Plexiglass frontale inferiore dp60 serigrafo BLU,PLEXIGLASS,250
DP16-905-1,DP16 Pannello Plexiglass frontale pulsantiera in anti uv,PLEXIGLASS,120
VETR-002,Vetrocamera DP30,PLEXIGLASS,180
DP30-950A,Plexiglass frontale DP30 ,PLEXIGLASS,550
VETR-001,Vetrocamera DP60,PLEXIGLASS,240
DD10-915,Dp10 Protezione elettronica dd10 in plexiglass,PLEXIGLASS,
DP60-900-1N,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BLU NO LOGO DUREX ,PLEXIGLASS,
DP60-900-1V,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO VERDE NO LOGO DUREX ,PLEXIGLASS,
DP60-900-1VD,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO VERDE CON LOGO DUREX ,PLEXIGLASS,
DP60-900-1BB,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BIANCO BLU NO LOGO DUREX,PLEXIGLASS,
DP60-900-1BV,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BIANCO VERDE NO LOGO DUREX,PLEXIGLASS,
DP60-920-1V,PLEXIGLASS TASTIERA DP60 SERIGRAFATO VERDE ,PLEXIGLASS,
DP60-920-1BB,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BIANCO BLU ,PLEXIGLASS,
DP60-920-1BV,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BIANCO VERDE ,PLEXIGLASS,
DP60-929-1V,PLEXIGLASS FRONTALE PK3 E STAMPANTE VERDE ,PLEXIGLASS,
DP60-929-1BB,PLEXIGLASS FRONTALE PK3 E STAMPANTE BIANCO BLU ,PLEXIGLASS,
DP60-929-1BV,PLEXIGLASS FRONTALE PK3 E STAMPANTE BIANCO VERDE ,PLEXIGLASS,
DP60-902-1V,PLEXIGLASS FRONTALE INFERIORE DP60 VERDE ,PLEXIGLASS,
DP60-902-1BB,PLEXIGLASS FRONTALE INFERIORE DP60 BIANCO BLU ,PLEXIGLASS,
DP60-902-1BV,PLEXIGLASS FRONTALE INFERIORE DP60 BIANCO VERDE,PLEXIGLASS,
DP30-950-V,PLEXIGLASS FRONTALE VERDE CON STELLINE E LOGO DP30,PLEXIGLASS,
DP60-960-1VD,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO VERDE CON LOGO DUREX NEW,PLEXIGLASS,
DP60-962-1V,PLEXIGLASS FRONTALE INFERIORE DP60 VERDE NEW,PLEXIGLASS,
DP60-969-1V,PLEXIGLASS FRONTALE PK3 E STAMPANTE VERDE NEW,PLEXIGLASS,
DP60-963-1V,PLEXIGLASS TASTIERA DP60 SERIGRAFATO VERDE NEW,PLEXIGLASS,
DP60-960-1,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BLU CON LOGO DUREX NEW,PLEXIGLASS,720
DP60-962-1,PLEXIGLASS FRONTALE INFERIORE DP60 BLU NEW,PLEXIGLASS,250
DP60-969-1,PLEXIGLASS FRONTALE PK3 E STAMPANTE BLU NEW,PLEXIGLASS,39
DP60-963-1,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BLU NEW,PLEXIGLASS,70
DP30-951 ,PLEXIGLASS BLU CON LOGO - NEW LISTELLI,PLEXIGLASS,550
DP60-960-1N,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BLU SENZA LOGO DUREX NEW,PLEXIGLASS,
DP40-900-1,PLEXIGLASS DP40 CON LOGO NUOVA GRAFICA DUREX,PLEXIGLASS,480
DD8-900-1,PLEXIGLASS DP8 NEW,PLEXIGLASS,210
DD16-901-GR,PLEXIGLASS PORTA DP18 TASTI SERIGRAFATO + IMBALLO SENZA NAYAX E SENZA SELF2000,PLEXIGLASS,295
DP30-951-BB,PLEXIGLASS BIANCO SENZA LOGO - NEW LISTELLI,PLEXIGLASS,
DP30-951-NL,PLEXIGLASS BLU SENZA LOGO - NEW LISTELLI,PLEXIGLASS,550
DP40-900-1N,PLEXIGLASS DP40 SENZA LOGO DUREX DP40,PLEXIGLASS,160
DP40-900-1,PLEXIGLASS DP40 CON LOGO DUREX DP40,PLEXIGLASS,480
DP60-960-1GRN,"PANNELLO PORTA DP60 GRIGIO DUREX SENZA LOGO - PLEXI - ""DUREX 2020""",PLEXIGLASS,720
DP60-962-1GR,FRONTALE INFERIORE DP60 - PLEXIGLASS CON STAMPA DIRETTA GRIGIO DUREX,PLEXIGLASS,250
DP60-930-1GR,FRONTALE PER STAMPANTE DP60 - PLEXIGLASS CON STAMPA GRIGIO DUREX,PLEXIGLASS,39
DP60-963-1GR,TASTIERA DP60 GRIGIO DUREX - PLEXIGLASS CON STAMPA DIRETTA,PLEXIGLASS,70
DP60-965-1GR,"FRONTALE PER POS INGIENICO X DP60 - PLEXI C/STAMPA GRIGIA ""DUREX 2020""",PLEXIGLASS,75
DP60-960-1GR,"PANNELLO PORTA DP60 GRIGIO DUREX CON LOGO - PLEXI ""DUREX 2020""",PLEXIGLASS,720
DP60-928,ADESIVO PER SPORT. RIT. PROD. DP60,PLEXIGLASS,18
DP16-100,FRONTALINO INS. MONETE,PLEXIGLASS,15
DD16-901-NY,PLEXIGLAS DP18 GRIGIO PER NAYAX,PLEXIGLASS,
VETR-003,VETRO DP40,PLEXIGLASS,210
DD16-903,PLEXIGLAS DP18 PER SELF2000 E SANEI,PLEXIGLASS,
DP40-936-1,PLEXI SOLO QR DP40,PLEXIGLASS,18
DP40-900-1GU,PLEXI DP40 CON LOGO - GUCCI,PLEXIGLASS,500
DD60-900-1-GU,PLEXI FRONTALE STAMPATO dd60 TOUCH,PLEXIGLASS,500
DD60-901-1,,PLEXIGLASS,400
DP40-952,LEXAN TETTOIA DP40,PLEXIGLASS,150
VETR-004B,VETRO DP60 TOUCH,PLEXIGLASS,
DD40-900-1-GUN,PLEXI DP40 SENZA LOGO - GUCCI,PLEXIGLASS,
DP18-KIT-06,Kit illuminazione plexiglass frontale DP18,ELETTRONICA,43
MON-012,YIIAMA MONITOR TOUCH DP18 PRIMA SERIE,ELETTRONICA,650
MH432,MODEM GPRS DP16-8,ELETTRONICA,55
ALIM-003,ALIMENTATORE SWITCHING 24V 100W DP60-18-16-10-8,ELETTRONICA,50
DP16-KIT-03,DISPLAY GRAFICO 240x128 DP60-18-16-8 MICROHARD,ELETTRONICA,75
DIS-LCD-240X128-V,DISPLAY GRAFICO 240x128 DP7 PAYTEC,ELETTRONICA,95
MH430,SCHEDA CPU DP16-8,ELETTRONICA,130
MH430-P,SCHEDA CPU DP60-18,ELETTRONICA,150
RB7U127,SCHEDA CPU DP14-7-4 PAYTEC RIGENERATA,ELETTRONICA,135
MH543,SCHEDA CPU DP10,ELETTRONICA,140
RB7U128,SCHEDA TASTIERA DP14-7 PAYTEC RIGENERATA,ELETTRONICA,105
DP16-KIT-04-U,SCHEDA TASTIERA MH465 DP16- RIGENERATO,ELETTRONICA,185
DP16-KIT-05-U,SCHEDA TASTIERA MH466 DP16- RIGENERATO,ELETTRONICA,175
DP8-KIT-01-U,SCHEDA TASTIERA MH471 DP8- RIGENERATO,ELETTRONICA,225
MH434-U,SCHEDA I/O DP16- RIGENERATO,ELETTRONICA,120
MH434-8-U,SCHEDA I/O DP8- RIGENERATO,ELETTRONICA,98
MH522,SCHEDA I/O SPORTELLO DP60-18,ELETTRONICA,95
MH521,SCHEDA I/O MOBILE DP60-18,ELETTRONICA,80
MH529,SCHEDA MOTORE GHIGLIOTTINA DP60,ELETTRONICA,15
MH527,SCHEDA POWER DP60,ELETTRONICA,15
ALIM-002,ALIMENTATORE SWITCHING 12V 100W DP60-18-16-10-8,ELETTRONICA,50
RB7U101,BOX ALIMENTAZIONE DP14-7 PAYTEC,ELETTRONICA,115
DP10-KIT-04,DISPLAY ALFANUMERICO 20x2 CABLATO DP14-10,ELETTRONICA,75
RB70120,Ventola 80*80 24Vdc per DP14-7 (coppia),ELETTRONICA,36
VENT-01,Ventola 12V 4,1W DP18-16-10-8-60 (Alta velocità),ELETTRONICA,18
VENT-8x8-12.1,Ventola 12V 1,8W DP18-16-10-8-60 (Bassa velocità),ELETTRONICA,13
MH541,ESPANSIONE MULTI CCTALK DP18-10,ELETTRONICA,10
MH505,INTERFACCIA RASPBERRY MH430,ELETTRONICA,15
MH534,SCHEDA TASTIERA A 2 PULSANTI DP18,ELETTRONICA,30
MH535,DIPLAY PREZZO DP18,ELETTRONICA,10
MH537,SCHEDA INTERFACCIA MH537,ELETTRONICA,8
RASPBERRY-PI2,RASPBERRY MOD. P2,ELETTRONICA,90
DRV-10-SPIN,SCHEDA DRIVER 10 MOTORI DP60,ELETTRONICA,95
SCH-007,SCHEDA DRIVER 6 MOTORI DP60,ELETTRONICA,85
NX16R/RCN-CO10,Barriera ottica nx16srxcn-c010 destra,ELETTRONICA,55
NX16S/X00-CO,Barriera ottica nx16srxcn-c010 sinistra,ELETTRONICA,55
MTR-02,MOTORE SPORTELLO RITIRO PRODOTTO DP60-18-16-8,ELETTRONICA,45
DP10-KIT-03,ELETTROMAGNETE ASS. CHIUSURA SPORTELLO RIT. PRODOTTI DP14-10-7-8new,ELETTRONICA,47
MH442,LED RGB DP16-8,ELETTRONICA,15
DP10-KIT-01,KIT ILLUMINAZIONE PRODOTTI DP10,ELETTRONICA,30
MH551,TASTIERA MASTER DP10 3 PULSANTI (A) ,ELETTRONICA,65
MH552,TASTIERA SLAVE DP10 3 PULSANTI (B),ELETTRONICA,35
MH553,TASTIERA SLAVE DP10 2 PULSANTI (C),ELETTRONICA,20
DP18-KIT-01,KIT ILLUMINAZIONE PRODOTTI DP18 - modello nuovo,ELETTRONICA,50
DP60-ATT,KIT MOTORE GHIGLIOTTINA DP60,ELETTRONICA,85
MH532,SCHEDA CPU DP4,ELETTRONICA,110
MON-001 ,MONITOR PER TOUCH A LIBRO,ELETTRONICA,380
MH524,TASTIERA DP60,ELETTRONICA,65
BATT-12V-1,3A PB,Batteria al Pb 12V 1,3A ,ELETTRONICA,15
SCH-USD-8GB,Scheda micro SD da 8GB per MH430,ELETTRONICA,
ADATT-SD,Adattatore micro SD,ELETTRONICA,
NX16SR/XCN-C010,Kit barriera Ottica DP60/40,ELETTRONICA,225
NX16SR/RCN-C1020,Kit barriera Ottica DP30,ELETTRONICA,225
TOUCH-03,"Tuoch-03 zcc-336, 21,5"" p CAP,single 1,000 cover lens + CTRL mod .zcc-3356",ELETTRONICA,316
ZCC-001,Controller ZCC-3356 per il touch ZCC-336221506,ELETTRONICA,120
MH487,SCHEDA I/O PAYPOINT,ELETTRONICA,160
